
name,date,location,venue,address,prefecture,city,lat,lon,source,url
7月1日～6日に開催されるイベント,2025-07-05,千葉,,千葉,,千葉,35.6137344,140.1125333,和黒柴な日々,https://kuro-shiba.net/post-9112/
7月7日～13日に開催されるイベント,2025-07-12,静岡,,静岡,,静岡,34.9716389,138.3893389,和黒柴な日々,https://kuro-shiba.net/post-9112/
7月14日～21日に開催されるイベント,2025-07-19,東京,,東京,,東京,35.6768601,139.7638947,和黒柴な日々,https://kuro-shiba.net/post-9112/
7月22日～31日に開催されるイベント,2025-07-26,岐阜,,岐阜,,岐阜,35.4094858,136.7569769,和黒柴な日々,https://kuro-shiba.net/post-9112/
8月1日～3日に開催されるイベント,2025-08-02,埼玉,,埼玉,,埼玉,36.1192436,139.4976783,和黒柴な日々,https://kuro-shiba.net/post-9112/
8月4日～11日に開催されるイベント,2025-08-09,栃木,,栃木,,栃木,36.3716073,139.7314274,和黒柴な日々,https://kuro-shiba.net/post-9112/
8月12日～17日に開催されるイベント,2025-08-15,大阪,,大阪,,大阪,34.6937569,135.5014539,和黒柴な日々,https://kuro-shiba.net/post-9112/
8月18日～24日に開催されるイベント,2025-08-23,千葉,,千葉,,千葉,35.6137344,140.1125333,和黒柴な日々,https://kuro-shiba.net/post-9112/
8月25日～31日に開催されるイベント,2025-08-30,千葉,,千葉,,千葉,35.6137344,140.1125333,和黒柴な日々,https://kuro-shiba.net/post-9112/
第2回 わんてらす dog & マルシェ in昭島 【イベント情報】 2023年12月24日(日)開催,2025-12-24,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
＜開催中止＞ あつまれ！わんダーランド in KOBE MOSAIC前 【兵庫県神戸市】 2025年5月24日(土)開催,2025-05-24,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
佐野プレミアム・アウトレットドッグフェスティバル 【栃木県佐野市】 2024年11月9日(土)・10日(日)開催,2025-11-09,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
‘Amo わん FESTA 【イベント情報】 2023年5月27日(土)・28日(日)開催,2025-05-27,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
犬市場 in OKAZAKI 2024 Autumn 【岡崎公園乙川河川緑地】 2024年10月5日(土)・6日(日)開催,2025-10-05,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
人も、犬も、猫ちゃんもみんな笑顔のマルシェ 【イベント情報】 2022年11月11日（金）～14日（月）開催予定,2025-11-11,金,,金,,金,33.7355110,131.6790610,和黒柴な日々,https://kuro-shiba.net/post-9112/
コメントをどうぞコメントをキャンセル,,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
ピックアップ,,,,ピックアップ  南幹線  浜田町  清水区  静岡市  静岡県  424-8701  日本,静岡県,静岡市,35.0116000,138.4711513,和黒柴な日々,https://kuro-shiba.net/post-9112/
サイト内検索,,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
よく読まれる記事,2025-07-19,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
Twitter,,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
ブログランキング,,,,,,,,,和黒柴な日々,https://kuro-shiba.net/post-9112/
