
name,date,location,venue,address,prefecture,city,lat,lon,source,url
ワンタイムマルシェ with CAINZ @カインズ前橋吉岡店-ハロウィンパーティ-,2025-10-11,群馬県北群馬郡,カインズ前橋吉岡店　群馬県北群馬郡吉岡町大久保８２１,カインズ前橋吉岡店　群馬県北群馬郡吉岡町大久保８２１,群馬県,北群馬郡,36.5219800,139.0334830,LatteChannel,https://lattechannel.com/event_2025_wontimemarche_10_11/
第12回ワンタイムマルシェ @加須はなさき公園,2025-10-04,埼玉県加須市,加須はなさき公園　埼玉県加須市水深１７２２,加須はなさき公園　埼玉県加須市水深１７２２,埼玉県,加須市,35.9754168,139.4160114,LatteChannel,https://lattechannel.com/event_2025_wontimemarche_10_4/
いぬの夜まつり＠レイクタウン大芝生公園,2025-09-13,埼玉県越谷市,レイクタウン大芝生公園　埼玉県越谷市レイクタウン８丁目３−１,レイクタウン大芝生公園　埼玉県越谷市レイクタウン８丁目３−１,埼玉県,越谷市,35.9754168,139.4160114,LatteChannel,https://lattechannel.com/event_2025_inunoomaturi_9_13/
WonWonマルシェ in ひろさきまちなかピクニック,2025-09-13,青森県弘前市,土淵川吉野町緑地　青森県弘前市吉野町2-7,土淵川吉野町緑地　青森県弘前市吉野町2-7,青森県,弘前市,40.8869430,140.5901210,LatteChannel,https://lattechannel.com/event_2025_wonwonmarche_9_13/
わんワンダー夏祭り＠イオンモール土岐,2025-08-16,岐阜県土岐市,イオンモール土岐　岐阜県土岐市土岐津町土岐口１３７２−１,イオンモール土岐　岐阜県土岐市土岐津町土岐口１３７２−１,岐阜県,土岐市,35.7867449,137.0460777,LatteChannel,https://lattechannel.com/vent_2025_wanwonderfes_8_16/
SKYわんにゃんマーケット〜年に一度のnightマーケット〜,2025-09-13,兵庫県伊丹市,伊丹スカイパーク　兵庫県伊丹市森本７丁目１−１,伊丹スカイパーク　兵庫県伊丹市森本７丁目１−１,兵庫県,伊丹市,34.9149340,134.8606660,LatteChannel,https://lattechannel.com/event_2025_skywannyanmarket_9_13/
サロンマルシェ〜わんにゃふるver.〜,2025-09-07,広島県広島市,アヴィーユビル5階イベントスペース　広島県広島市佐伯区吉見園1-25,アヴィーユビル5階イベントスペース　広島県広島市佐伯区吉見園1-25,広島県,広島市,34.5666725,132.7535650,LatteChannel,https://lattechannel.com/event_2025_salonmarche_9_7/
わんにゃんマルシェvol.21,2025-08-23,北海道釧路郡,別保公園　 北海道釧路郡釧路町別保原野,別保公園　 北海道釧路郡釧路町別保原野,北海道,釧路郡,43.4519831,142.8197834,LatteChannel,https://lattechannel.com/event_2025_wannyanmarchekushiro_%ef%bc%98_23/
フレスポ春日井 保護犬お見合い会 ＆チャリティーマルシェ,2025-08-17,愛知県春日井市,フレスポ春日井 はるいち区画 室内スペース　愛知県春日井市追進町２―１―５,フレスポ春日井 はるいち区画 室内スペース　愛知県春日井市追進町２―１―５,愛知県,春日井市,34.9991645,137.2545740,LatteChannel,https://lattechannel.com/event_2025_hogoinuomiaikaiandmarche_8_17/
あつまれ！わんダーランド,2025-08-06,大阪府茨木市,ダムパークいばきた　大阪府茨木市生保５３−１,ダムパークいばきた　大阪府茨木市生保５３−１,大阪府,茨木市,34.6198813,135.4903570,LatteChannel,https://lattechannel.com/event_2025_atumarewanderland_8_6/
