
name,date,location,venue,address,prefecture,city,lat,lon,source,url
OJI Creative Challenge～王子駅周辺 みんなで試す パブリックスペース活用プロジェクト～,2025/9/2(火)  9/13(土)  9/14(日),王子駅周辺エリアプラットフォーム　主催,,王子駅周辺エリアプラットフォーム　主催,,王子駅周辺エリアプラットフォーム　主催,,,MLIT,https://www.mlit.go.jp/toshi/local-event/
リノベーションまちづくりシンポジウム2025「まちづくりの価値を“見える化”する ― 新たな評価軸と発信のかたち―」,2025/7/31(木)　13:00 to 17:30,(株)リノベリング　主催,,(株)リノベリング　主催,,(株)リノベリング　主催,,,MLIT,https://renovaring.com/events/116/
にいがたリノベーションまちづくりシンポジウム,2025/7/9(水)　13:30 to 16:30,新潟県　主催,,新潟県　主催,新潟県,主催,37.6452283,138.7669125,MLIT,https://www.pref.niigata.lg.jp/site/toshiseibi/renovation-machi.html
都市戦略の視点から考えるマーケットとエリアマネジメントの可能性｜ソトノバTABLE#56,2025/7/16(水)　19:00 to 21:00,一般社団法人ソトノバ　主催,,一般社団法人ソトノバ　主催,,一般社団法人ソトノバ　主催,,,MLIT,https://sotonoba.place/20250716sotonobatable56
第２回まちづくりコネクション,2025/7/13(日)　14:00 to 17:00,一般社団法人地域未来創造大学校次世代まちづくりスクール　主催,,一般社団法人地域未来創造大学校次世代まちづくりスクール　主催,,一般社団法人地域未来創造大学校次世代まちづくりスクール　主催,,,MLIT,https://hello-renovation.jp/machi-school/news_detail/222?fpc=6.5...NaN
視察報告！シンガポールの都市再生とパブリックスペース活用,2025/6/25(水)　19:00 to 20:30,一般社団法人ソトノバ　主催,,一般社団法人ソトノバ　主催,,一般社団法人ソトノバ　主催,,,MLIT,https://sotonoba.place/20250625sotonobatable55
買物公園まちにちSCHOOL,2025/6/21(土)　17:00 to 19:00,買物公園エリアプラットフォーム・旭川市　主催,,買物公園エリアプラットフォーム・旭川市　主催,,買物公園エリアプラットフォーム・旭川市　主催,,,MLIT,https://www.mlit.go.jp/toshi/local-event/
「令和７年度土地活用モデル大賞」の募集を開始しました,2025/5/26(月) to 2025/7/7(月),一般財団法人都市みらい推進機構　主催,,一般財団法人都市みらい推進機構　主催,一般財団法人都,市みらい推進機構　主催,34.7097632,135.8048809,MLIT,http://www.toshimirai.jp/tochikatuyou/index.html
＃こいわの日2025,2025/5/15(木) to 2025/5/18(日),＃こいわの日実行委員会　主催,,＃こいわの日実行委員会　主催,,＃こいわの日実行委員会　主催,,,MLIT,https://koitto518.com/information/4430/
二子玉川エリアマネジメントシンポジウム VOL.10,2025/6/1(日)　13:00 to 16:45,(一社)二子玉川エリアマネジメンツ　主催,,(一社)二子玉川エリアマネジメンツ　主催,,(一社)二子玉川エリアマネジメンツ　主催,,,MLIT,https://futako.org/6299/
第16回日本都市計画家協会賞,応募受付期間：2025/4/28(月) to 2025/6/20(金),日本都市計画家協会　主催,,日本都市計画家協会　主催,日本都,市計画家協会　主催,35.6887950,139.7345370,MLIT,https://jsurp.jp/kyoukaisyou/
ストリートデザインスクール＠札幌2025,申込〆切：2025/5/18(日),札幌駅前通地区まちづくりプラットフォーム検討会議　主催,,札幌駅前通地区まちづくりプラットフォーム検討会議　主催,,札幌駅前通地区まちづくりプラットフォーム検討会議　主催,,,MLIT,https://www.sapporoekimae-management.jp/streetdesignschool-2025/
いいねキタヒロ！まちびらきフェスタ,2025/4/29(火・祝)　10:00 to 17:00,いいねキタヒロ協議会　主催,,いいねキタヒロ協議会　主催,,いいねキタヒロ協議会　主催,,,MLIT,https://www.city.kitahiroshima.hokkaido.jp/hotnews/detail/00156296.html
SHIFT05 パークPFIってなんだ？～公園を活用する全国の取り組み事例と解説～,2025/3/22(土)　18:30 to 20:30,Mol.t 運営事務局（株式会社SALT）,,Mol.t 運営事務局（株式会社SALT）,,Mol.t 運営事務局（株式会社SALT）,,,MLIT,https://peatix.com/event/4330316
大阪版シェアドストリートモデルを考えるシンポジウム～ウォーカビリティの面的広がり～,2025/3/21(金)　15:00 to 17:00,船場まちづくり検討会・大阪市建設局・大阪公立大学観光産業戦略研究所　主催,,船場まちづくり検討会・大阪市建設局・大阪公立大学観光産業戦略研究所　主催,,船場まちづくり検討会・大阪市建設局・大阪公立大学観光産業戦略研究所　主催,,,MLIT,https://ccd5walkablity.peatix.com/
花巻中央エリアのこれからを描く未来デザイン会議,2025/3/21(金),花巻市商工労政課　主催,,花巻市商工労政課　主催,,花巻市商工労政課　主催,,,MLIT,https://www.city.hanamaki.iwate.jp/shisei/shisei/keikaku/1010854/1023016.html
共創で推進していく　地域の特性を活かしたにぎわいのあるまちづくり,2025/2/26(水)　15:00 to 18:30,港区立産業振興センター指定管理者　みなと・キャンパス・リログループ　主催,,港区立産業振興センター指定管理者　みなと・キャンパス・リログループ　主催,,港区立産業振興センター指定管理者　みなと・キャンパス・リログループ　主催,,,MLIT,https://minato-sansin.com/events/innovation_circl20250226/
令和6年度エリアマネジメント実務研究会,2025/3/26(水)　13:30 to 17:30  参加登録〆切2025/3/17(月)17時,（一財）都市みらい推進機構　主催,,（一財）都市みらい推進機構　主催,（一財）都,市みらい推進機構　主催,34.7097632,135.8048809,MLIT,https://www.toshimirai.jp/area_management/index.html
官民連携まちづくりシンポジウム,2025/3/3(月)　14:00 to 17:00,国土交通省関東地方整備局　主催,,国土交通省関東地方整備局　主催,,国土交通省関東地方整備局　主催,35.0086371,135.7563376,MLIT,https://www.mlit.go.jp/toshi/local-event/
第6回前橋市アーバンデザインシンポジウム,2025/2/26(水)　13:30 to 16:00,前橋市,,前橋市,,前橋市,36.3893418,139.0632826,MLIT,https://www.city.maebashi.gunma.jp/soshiki/toshikeikakubu/shigaichiseibi/gyomu/kanminrenkeimatidukuri/43184.html
都市づくりについての技術研究発表と講演会（大阪会場）,2025/2/19(水)　13:30 to 17:30,アーバンインフラ・テクノロジー推進会議　主催,,アーバンインフラ・テクノロジー推進会議　主催,,アーバンインフラ・テクノロジー推進会議　主催,,,MLIT,https://www.uit.gr.jp/tech_research2024/osaka/infomation.html
まちにち計画アーカイブ・フォーラム,2025/2/11(火・祝)　13:30 to 15:30,買物公園エリアプラットフォーム  主催,,買物公園エリアプラットフォーム  主催,,買物公園エリアプラットフォーム  主催,,,MLIT,https://www.city.asahikawa.hokkaido.jp/event/category-05/d081170.html
JSURP地域主体のまちづくりフォーラム,2025/2/9(日)　14:30 to 16:30,ハイブリッド・認定NPO法人 日本都市計画家協会,,ハイブリッド・認定NPO法人 日本都市計画家協会,ハイブリッド・認定NPO法人 日本都,市計画家協会,,,MLIT,https://jsurp.jp/machizukuri_forum20250209/
新・公民連携最前線　創刊10周年記念シンポジウム『The Possibility of PPP　これまでの10年、これからの10年』,2025/2/4(火)  申込み〆切：1/31(金),新・公民連携最前線（日経BP 総合研究所）,,新・公民連携最前線（日経BP 総合研究所）,,新・公民連携最前線（日経BP 総合研究所）,,,MLIT,https://events.nikkeibp.co.jp/event/2025/bpi0204ppp/
第7回ワダイノLIVE「未来のまちはみんなでつくり育てる　アントレプレナーシップとわたしたちのまちづくり」,2025/3/19(水)　19:00 to 20:30,ハイブリッド開催,,ハイブリッド開催,,ハイブリッド開催,,,MLIT,https://www.wakayama-u.ac.jp/kii-plus/news/2024121700029/
会報誌Planners104号「特集：日本都市計画家協会賞・官民連携事業」を公開しました,発行日：2024/12/17(火),発行：認定NPO法人 日本都市計画家協会,,発行：認定NPO法人 日本都市計画家協会,発行：認定NPO法人 日本都,市計画家協会,,,MLIT,https://jsurp.jp/news241217/
まち育て連携フォーラム2025 in 須賀川,2025/1/31(金)　13:30 to 17:30,須賀川南部地区エリアプラットフォーム,,須賀川南部地区エリアプラットフォーム,,須賀川南部地区エリアプラットフォーム,,,MLIT,https://tedasochima.com/areaplatform/%e3%80%8e%e3%81%be%e3%81%a1%e8%82%b2%e3%81%a6%e9%80%a3%e6%90%ba%e3%83%95%e3%82%a9%e3%83%bc%e3%83%a9%e3%83%a02025-in-%e9%a0%88%e8%b3%80%e5%b7%9d%e3%80%8f%e3%80%80%e9%96%8b%e5%82%ac%e6%b1%ba%e5%ae%9a/
まちづくりシンポジウム,2025/1/30(木)　15:00 to 17:30,新大阪駅周辺地域都市再生緊急整備協議会、新大阪駅周辺地域まちづくり検討部会,,新大阪駅周辺地域都市再生緊急整備協議会、新大阪駅周辺地域まちづくり検討部会,新大阪駅周辺地域都,市再生緊急整備協議会、新大阪駅周辺地域まちづくり検討部会,35.0144813,135.7624750,MLIT,https://www.pref.osaka.lg.jp/o140030/daitoshimachi/shin-osaka/shin_osaka_r6sympo.html
