
name,date,location,venue,address,prefecture,city,lat,lon,source,url,description
第8回 wankoPARTY わんこパーティー（兵庫）,2025-10-19,(日)に開催。,,(日)に開催。,,(日)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3383p/,兵庫県たつの市 中川原グラウンドにて、「第8回 wankoPARTY わんこパーティー」が2025年10月19日(日)に開催。   前回初開催でした『たつの中川原グラウンド』での開催となります！ ○名　　称：第8回 wankoPA...
犬楽園フェスタ 2025（宮城）,2025-10-19,(日)に開催。,,(日)に開催。,,(日)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3380p/,宮城県石巻市某所（近日発表）にて、「犬楽園フェスタ 2025」が2025年10月19日(日)に開催。   わんこと一緒に参加できる野外イベントです。 今年のテーマは『今からはじめよう！愛犬との暮らしとペット防災のアップデート』 東...
駒沢わんこ祭り 2025（東京）,2025-10-18,(土)・19日(日)に開催。,,(土)・19日(日)に開催。,,(土)・19日(日)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3377p/,東京都世田谷区にある駒沢オリンピック公園 中央広場にて、「駒沢わんこ祭り 2025」が2025年10月18日(土)・19日(日)に開催。 都内屈指のBIGイベントが今年も開催！ ○名　　称：駒沢わんこ祭り 2025 ○開催日時：2025年1...
第2回 広島いぬざんまい（広島）,2025-10-12,(日)・13日(月・祝)に開催。,,(日)・13日(月・祝)に開催。,,(日)・13日(月・祝)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3374p/,広島県廿日市市 冠高原ドッグパークにて、「第2回 広島いぬざんまい」が2025年10月12日(日)・13日(月・祝)に開催。   第2回広島いぬざんまいイベントの開催が決定しました！ 第1回広島いぬざんまいもより多くのみなさまに楽...
犬市場 in OKAZAKI 2025 Autumn（愛知）,2025-10-11,(土)～13日(月・祝)に開催。,,(土)～13日(月・祝)に開催。,,(土)～13日(月・祝)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3371p/,愛知県岡崎市にある愛知県岡崎公園乙川河川緑地にて「犬市場 in OKAZAKI 2025 Autumn」が2025年10月11日(土)～13日(月・祝)に開催。   「人」「犬」「地域」が一体となったワンちゃん大好きな方が愛犬と一...
BOO!! BULL BOO!! FESTA 2025 AUTUMN in 八景島（神奈川）,2025-10-05,(日)に開催。,,(日)に開催。,,(日)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3368p/,神奈川県横浜市にある八景島 イベント広場にて「BOO!! BULL BOO!! FESTA ブーブルブーフェスタ 2025 AUTUMN in 八景島」が2025年10月5日(日)に開催。   ついに…初回以来の神奈川県でカムバッ...
THE DOG FES-犬のハロウィンマーケット-（千葉）,2025-10-04,(土)・5日(日)に開催。,,(土)・5日(日)に開催。,,(土)・5日(日)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3365p/,千葉県千葉市 千葉公園　TIP STAR DOME前にて、「THE DOG FES-犬のハロウィンマーケット-」が2025年10月4日(土)・5日(日)に開催。   千葉公園は、スターバックス、おしゃれなカフェ、芝生エリアもあり、...
第4回 ラブドッグ＆マルシェ love&dog marche（埼玉）,2025-10-04,(土)に開催。,,(土)に開催。,,(土)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3362p/,埼玉県熊谷市にある熊谷スポーツ文化公園 東第2多目的広場にて、「第4回 ラブドッグ＆マルシェ love&dog marche」が2025年10月4日(土)に開催。   ドッグマルシェを中心にハンドメイドグッズやワークショッ...
ワン友マルシェ vol.10（富山）,2025-09-20,(土)・21日(日)に開催。,,(土)・21日(日)に開催。,,(土)・21日(日)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3359p/,富山県南砺市　イオックス・アローザにて、「ワン友マルシェ vol.10」が2025年9月20日(土)・21日(日)に開催。 秋の絶景「キバナコスモス」が見頃になるこの2日間、映えスポットもたくさんあるキバナコスモス祭りとワン友マルシェがコラ...
いぬの夜まつり@レイクタウン大芝生広場（埼玉）,2025-09-13,(土)・14日(日)に開催。,,(土)・14日(日)に開催。,,(土)・14日(日)に開催。,,,わんにゃんスマイル,https://wannyan-smile.com/3355p/,埼玉県越谷市にあるレイクタウン 大芝生広場にて「いぬのおまつり@レイクタウン大芝生広場」が2025年9月13日(土)・14日(日)に開催。   暑さが少し落ち着いた夏の終わりの夜にショッピングやドッグラン、そして、よるんぽを楽しみ...
