address,lat,lon,source,raw_json
日本、〒060-0002 北海道札幌市中央区北２条西２丁目 19TKP札幌ビル 1F,,,nominatim,"{""note"": ""no_result""}"
日本、〒060-0062 北海道札幌市中央区南２条西４丁目12−６ 第二コンタクトオフビル 9階,,,nominatim,"{""note"": ""no_result""}"
日本、〒064-0804 北海道札幌市中央区南４条西３丁目 No 2 第2グリーンビル 6F,,,nominatim,"{""note"": ""no_result""}"
日本、〒064-0806 北海道札幌市中央区南６条西３丁目３ 第２桂和ビル 2F,,,nominatim,"{""note"": ""no_result""}"
日本、〒064-0804 北海道札幌市中央区南４条西６丁目８−３,,,nominatim,"{""note"": ""no_result""}"
日本、〒003-0802 北海道札幌市白石区菊水２条１丁目２−１１,,,nominatim,"{""note"": ""no_result""}"
日本、〒065-0023 北海道札幌市東区北２３条東１８丁目４−１０,,,nominatim,"{""note"": ""no_result""}"
日本、〒060-0032 北海道札幌市中央区北２条東７丁目８２−８２ ラポール永山公園,,,nominatim,"{""note"": ""no_result""}"
日本、〒001-0030 北海道札幌市北区北３０条西９丁目５−２６,,,nominatim,"{""note"": ""no_result""}"
日本、〒003-0802 北海道札幌市白石区菊水２条２丁目３−３０,,,nominatim,"{""note"": ""no_result""}"
日本、〒060-0031 北海道札幌市中央区北１条東１３丁目２−２ Ｅａｓｔ Ｃｏｕｒｔ １,,,nominatim,"{""note"": ""no_result""}"
日本、〒065-0012 北海道札幌市東区北１２条東１３丁目２−１８ 犬屋,,,nominatim,"{""note"": ""no_result""}"
日本、〒001-0022 北海道札幌市北区北２２条西８丁目１−６,,,nominatim,"{""note"": ""no_result""}"
日本、〒003-0801 北海道札幌市白石区菊水１条１丁目２−４８,,,nominatim,"{""note"": ""no_result""}"
日本、〒060-0010 北海道札幌市中央区北１０条西１５丁目1−６ クリーンリバー桑園駅前 1F Bored Dog内,,,nominatim,"{""note"": ""no_result""}"
日本、〒060-0010 北海道札幌市中央区北１０条西１５丁目1−６ クリーンリバー桑園駅前1号棟 階,,,nominatim,"{""note"": ""no_result""}"
日本、〒003-0801 北海道札幌市白石区菊水１条２丁目７−１９ 高野ビル 1F,,,nominatim,"{""note"": ""no_result""}"
日本、〒065-0022 北海道札幌市東区北２２条東８丁目２−３,,,nominatim,"{""note"": ""no_result""}"
日本、〒003-0004 北海道札幌市白石区東札幌４条１丁目１,,,nominatim,"{""note"": ""no_result""}"
日本、〒064-0807 北海道札幌市中央区南７条西８丁目１−２４ Lc拾八番館,,,nominatim,"{""note"": ""no_result""}"
日本、〒071-8144 北海道旭川市春光台４条３丁目９−１２,,,nominatim,"{""note"": ""no_result""}"
日本、〒070-0001 北海道旭川市新富１条２丁目８−１４,,,nominatim,"{""note"": ""no_result""}"
日本、〒070-0901 北海道旭川市花咲町７丁目４０６４−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒071-8131 北海道旭川市末広１条３丁目３−３,,,nominatim,"{""note"": ""no_result""}"
日本、〒070-0825 北海道旭川市北門町８丁目２６５２−２２,,,nominatim,"{""note"": ""no_result""}"
日本、〒071-8121 北海道旭川市末広東１条１１丁目１−７,,,nominatim,"{""note"": ""no_result""}"
日本、〒071-8132 北海道旭川市末広２条１３丁目１−４,,,nominatim,"{""note"": ""no_result""}"
日本、〒070-0874 北海道旭川市春光４条７丁目４−１０ 4番10号,,,nominatim,"{""note"": ""no_result""}"
日本、〒079-8416 北海道旭川市永山６条６丁目１０−７,,,nominatim,"{""note"": ""no_result""}"
日本、〒070-0832 北海道旭川市旭町２条５丁目１２−３１,,,nominatim,"{""note"": ""no_result""}"
日本、〒071-8135 北海道旭川市末広５条４丁目８−１８,,,nominatim,"{""note"": ""no_result""}"
日本、〒079-8418 北海道旭川市永山８条５丁目１−１７ アメニティプラザ 2階,,,nominatim,"{""note"": ""no_result""}"
日本、〒071-8141 北海道旭川市春光台１条８丁目２−２３,,,nominatim,"{""note"": ""no_result""}"
日本、〒071-8135 北海道旭川市末広５条１丁目６−８,,,nominatim,"{""note"": ""no_result""}"
日本、〒070-0044 北海道旭川市常磐公園,,,nominatim,"{""note"": ""no_result""}"
日本、〒071-8121 北海道旭川市末広東１条９丁目４−１２,,,nominatim,"{""note"": ""no_result""}"
日本、〒050-0085 北海道室蘭市輪西町２丁目５−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒050-0084 北海道室蘭市みゆき町２丁目１４,,,nominatim,"{""note"": ""no_result""}"
日本、〒051-0011 北海道室蘭市中央町２丁目９−３,,,nominatim,"{""note"": ""no_result""}"
日本、〒051-0012 北海道室蘭市山手町１丁目３−１０,,,nominatim,"{""note"": ""no_result""}"
日本、〒050-0083 北海道室蘭市東町１丁目７−７ J棟,,,nominatim,"{""note"": ""no_result""}"
日本、〒030-0919 青森県青森市はまなす２丁目７−７,,,nominatim,"{""note"": ""no_result""}"
日本、〒030-0936 青森県青森市矢田前浅井３５−４１,,,nominatim,"{""note"": ""no_result""}"
日本、〒033-0022 青森県三沢市三沢淋代平,,,nominatim,"{""note"": ""no_result""}"
日本、〒018-5511 秋田県鹿角郡小坂町十和田湖休平,,,nominatim,"{""note"": ""no_result""}"
日本、〒018-5511 秋田県鹿角郡小坂町十和田湖休平３７,,,nominatim,"{""note"": ""no_result""}"
日本、〒020-0807 岩手県盛岡市加賀野３丁目１７−３,,,nominatim,"{""note"": ""no_result""}"
日本、〒020-0801 岩手県盛岡市浅岸３丁目２２−８,,,nominatim,"{""note"": ""no_result""}"
日本、〒020-0815 岩手県盛岡市小杉山１３−８,,,nominatim,"{""note"": ""no_result""}"
日本、〒025-0244 岩手県花巻市湯口志戸平２７−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒025-0244 岩手県花巻市湯口志戸平１１−２,,,nominatim,"{""note"": ""no_result""}"
日本、〒025-0244 岩手県花巻市湯口松原３６−３,,,nominatim,"{""note"": ""no_result""}"
日本、〒028-7112 岩手県八幡平市田頭第２４地割２４−７０−６,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-3111 宮城県仙台市泉区松森字 後田４５−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0904 宮城県仙台市青葉区旭ケ丘２丁目４−１４ Sqビル 1F,,,nominatim,"{""note"": ""no_result""}"
日本、〒980-0005 宮城県仙台市青葉区梅田町１−５９ 1F,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0904 宮城県仙台市青葉区旭ケ丘２丁目４−１４ Sqビル,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-3212 宮城県仙台市泉区長命ケ丘３丁目３１−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0954 宮城県仙台市青葉区川平１丁目２−１１,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-3116 宮城県仙台市泉区高玉町８−８,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0904 宮城県仙台市青葉区旭ケ丘４丁目３１−８,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-8003 宮城県仙台市泉区南光台４丁目７−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0966 宮城県仙台市青葉区荒巻本沢２丁目７−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0911 宮城県仙台市青葉区青葉区台原３丁目２０−１０,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-8003 宮城県仙台市泉区南光台４丁目３０−２５,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0952 宮城県仙台市青葉区中山５丁目１９−１５,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0904 宮城県仙台市青葉区旭ケ丘３丁目７−５,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-8003 宮城県仙台市泉区南光台４丁目４−６,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0917 宮城県仙台市青葉区葉山町１−２０,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-0911 宮城県宮城県仙台市青葉区青葉区台原４丁目６−２８,,,nominatim,"{""note"": ""no_result""}"
日本、〒980-0004 宮城県仙台市青葉区宮町４丁目６−２５,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-3135 宮城県仙台市泉区八乙女中央３丁目１０−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-3212 宮城県仙台市泉区長命ケ丘３丁目３１−５ ＢＯＷ ＥＹＥＳ,,,nominatim,"{""note"": ""no_result""}"
日本、〒981-3122 宮城県仙台市泉区加茂１丁目２６−９ ＭＡＴＥ,,,nominatim,"{""note"": ""no_result""}"
日本、〒986-0402 宮城県登米市津山町横山細屋７４−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒999-3211 山形県上山市牧野中道２５７−３,,,nominatim,"{""note"": ""no_result""}"
日本、〒990-0042 山形県山形市七日町１丁目４−３５,,,nominatim,"{""note"": ""no_result""}"
日本、〒990-0043 山形県山形市本町２丁目３−５４,,,nominatim,"{""note"": ""no_result""}"
日本、〒990-0021 山形県山形市小白川町１丁目７−２２ 1F,,,nominatim,"{""note"": ""no_result""}"
日本、〒990-0065 山形県山形市双月町３丁目５−１６,,,nominatim,"{""note"": ""no_result""}"
日本、〒990-0061 山形県山形市五十鈴１丁目２−１８,,,nominatim,"{""note"": ""no_result""}"
日本、〒990-0072 山形県山形市平久保１６−２,,,nominatim,"{""note"": ""no_result""}"
日本、〒990-0041 山形県山形市緑町２丁目６−４０ 緑町原アパート,,,nominatim,"{""note"": ""no_result""}"
日本、〒990-0051 山形県山形市銅町２丁目２２−２１,,,nominatim,"{""note"": ""no_result""}"
日本、〒992-0012 山形県米沢市金池２丁目８−５,,,nominatim,"{""note"": ""no_result""}"
日本、〒992-0025 山形県米沢市通町６丁目１０−３２,,,nominatim,"{""note"": ""no_result""}"
日本、〒992-0052 山形県米沢市丸の内１丁目７−３０,,,nominatim,"{""note"": ""no_result""}"
日本、〒992-0012 山形県米沢市金池１丁目２−２,,,nominatim,"{""note"": ""no_result""}"
日本、〒992-0012 山形県米沢市金池５丁目１３−１,,,nominatim,"{""note"": ""no_result""}"
日本、〒992-0017 山形県米沢市桜木町１−４１−３,,,nominatim,"{""note"": ""no_result""}"
