
name,date,location,venue,address,prefecture,city,lat,lon,source,url
【2025年8月】全国の犬イベントまとめ｜夜も楽しめる愛犬おでかけ情報,,2025年8月,,2025年8月,,2025年8月,,,Happyplace,https://happyplace.pet/event/202508/
【2025年7月】全国の犬イベントまとめ｜夏を楽しむ愛犬おでかけ情報,,2025年7月,,2025年7月,,2025年7月,,,Happyplace,https://happyplace.pet/event/202507/
【イベントレポート】木場公園で開催！第2回KIBAワンニャンHAPPYフェス,,イベントレポート,,イベントレポート,,イベントレポート,,,Happyplace,https://happyplace.pet/event/kibawannyanhappyfes-2-feedback/
【2025年全国版】6月ワンちゃんイベント一覧！,,2025年全国版,,2025年全国版,,2025年全国版,,,Happyplace,https://happyplace.pet/event/202506/
【イベントレポート】木場公園で開催！第1回KIBAワンニャンHAPPYフェス,,イベントレポート,,イベントレポート,,イベントレポート,,,Happyplace,https://happyplace.pet/event/kibawannyanhappyfes-1-feedback/
【2025年全国版】5月ワンちゃんイベント一覧！,,2025年全国版,,2025年全国版,,2025年全国版,,,Happyplace,https://happyplace.pet/event/202505/
【2025年全国版】4月ワンちゃんイベント一覧！,2025-04-01,2025年全国版,,2025年全国版,,2025年全国版,,,Happyplace,https://happyplace.pet/event/202504/
【2025年全国版】3月ワンちゃんイベント一覧！,2025-03-03,2025年全国版,,2025年全国版,,2025年全国版,,,Happyplace,https://happyplace.pet/event/202503/
【ペット博横浜2025】愛犬愛猫のための“食・健康・遊び”最新ペットグッズ・サービスご紹介！,,ペット博横浜2025,,ペット博横浜2025,,ペット博横浜2025,,,Happyplace,https://happyplace.pet/odekake/2025-yokohama-pethaku/
【2025年全国版】2月ワンちゃんイベント一覧！,2024-03-15,2025年全国版,,2025年全国版,,2025年全国版,,,Happyplace,https://happyplace.pet/event/202502/
【2025年全国版】1月ワンちゃんイベント一覧！,,2025年全国版,,2025年全国版,,2025年全国版,,,Happyplace,https://happyplace.pet/event/202501/
