GMAPM_ID,住所,緯度,経度
GMAPM_A10131,日本、〒515-2623 三重県津市白山町上ノ村２０８０,,
GMAPM_F10001,日本、〒606-8417 京都府京都市左京区浄土寺西田町１１５−４,,
GMAPM_A10132,日本、〒603-8204 京都府京都市北区紫竹高縄町７０−１３,,
GMAPM_A10133,日本、〒606-0866 京都府京都市左京区下鴨東森ケ前町１９ カーサ下鴨,,
GMAPM_C10013,日本、〒603-8134 京都府京都市北区出雲路立テ本町94,,
GMAPM_D10016,日本、〒602-0841 京都府京都市上京区梶井町４４７−５,,
GMAPM_A10134,日本、〒603-8143 京都府京都市北区小山上総町１７,,
GMAPM_A70112,日本、〒606-8085 京都府京都市左京区修学院中林町３２−６８,,
GMAPM_A70113,日本、〒606-0812 京都府京都市左京区下鴨上川原町４４,,
GMAPM_D70043,日本、〒606-0841 京都府京都市左京区下鴨南芝町５１−１ ソレイユ北山 1F,,
GMAPM_D70044,日本、〒606-8307 京都府京都市左京区吉田上阿達町３７−７,,
GMAPM_C70004,日本、〒603-8201 京都府京都市北区紫竹桃ノ本町２１,,
GMAPM_G70006,日本、〒606-0031 京都府京都市左京区岩倉南桑原町１４,,
GMAPM_A20171,日本、〒603-8112 京都府京都市北区小山元町４７−４ 山内ビル 2F,,
GMAPM_A20172,日本、〒603-8175 京都府京都市北区紫野下鳥田町,,
GMAPM_A20173,日本、〒602-0029 京都府京都市上京区室町通上立売上る室町頭町２８０ 上 立売上ル室町頭町280,,
GMAPM_H20002,日本、〒603-8412 京都府京都市北区紫竹下竹殿町２９−３,,
GMAPM_A20174,日本、〒606-0862 京都府京都市左京区下鴨本町７,,
GMAPM_F60001,日本、〒606-8417 京都府京都市左京区浄土寺西田町１１５−４,,
GMAPM_A60065,日本、〒603-8203 京都府京都市北区紫竹東高縄町３９−１,,
GMAPM_H60001,日本、〒603-8412 京都府京都市北区紫竹下竹殿町２９−３,,
GMAPM_C60005,日本、〒603-8133 京都府京都市北区出雲路松ノ下町,,
GMAPM_H40002,日本、〒603-8412 京都府京都市北区紫竹下竹殿町２９−３,,
GMAPM_D40013,日本、〒606-0955 京都府京都市左京区松ケ崎雲路町１２−２,,
